id,user,lat,long,tags,title,date_taken_minute,date_taken_hour,date_taken_day,date_taken_month,date_taken_year,date_upload_minute,date_upload_hour,date_upload_day,date_upload_month,date_upload_year,url,datetime_taken,datetime_upload,anomaly_reasons
38710037010,10986181@N05,45.760569,4.833469,"fujifilmxt10,lyon,fontainedesjacobins,fountain,fontaine,jacobins,glace,ice",La fontaine des Jacobins dans la glace,19,18,27,2,2018,15,18,27,2,2018,https://www.flickr.com/photos/10986181@N05/38710037010,2018-02-27 18:19:00,2018-02-27 18:15:00,upload_before_taken
39030061985,14902008@N02,45.733145,4.818513,,Lyon_Y183098,5,17,27,1,2018,2,17,27,1,2018,https://www.flickr.com/photos/14902008@N02/39030061985,2018-01-27 17:05:00,2018-01-27 17:02:00,upload_before_taken
28032921549,50262447@N07,45.768106,4.861482,"skateboard,street,blackandwhite,lyon,120film,analog,bergger,pancro,400",Guillaume Nozieres - Bs tailslide,48,10,21,1,2018,29,10,21,1,2018,https://www.flickr.com/photos/50262447@N07/28032921549,2018-01-21 10:48:00,2018-01-21 10:29:00,upload_before_taken
28032921549,50262447@N07,45.768106,4.861482,"skateboard,street,blackandwhite,lyon,120film,analog,bergger,pancro,400",Guillaume Nozieres - Bs tailslide,48,10,21,1,2018,29,10,21,1,2018,https://www.flickr.com/photos/50262447@N07/28032921549,2018-01-21 10:48:00,2018-01-21 10:29:00,upload_before_taken
38868642195,9619972@N08,45.779855,4.848167,"man,male,homme,hombre,uomo,mann,young,jung,jong,jeune,handsome,attractive,goodlooking,smile,sourire,glimlach,orange,oranje,lyon,france,frankrijk,frankreich,francia,frança,portret,portrait,ritratto,retrato,face,gezicht,visage,gesicht,rhônealpes,porträt,árbol,albero,mand",Beauty is power,2018,39,10,22,7,,11,22,18,1,https://www.flickr.com/photos/9619972@N08/38868642195,,,"taken_minute_oob, taken_hour_oob, taken_month_oob, taken_year_oob, upload_missing_parts, upload_month_oob, upload_year_oob"
38757049225,14902008@N02,45.733145,4.818513,,Lyon_Y183161,56,15,27,1,2018,34,20,12,1,2018,https://www.flickr.com/photos/14902008@N02/38757049225,2018-01-27 15:56:00,2018-01-12 20:34:00,upload_before_taken
39510403162,50262447@N07,45.735301,4.81553,"polaroid,film,blackandwhite,lyon",,55,18,6,1,2018,45,18,6,1,2018,https://www.flickr.com/photos/50262447@N07/39510403162,2018-01-06 18:55:00,2018-01-06 18:45:00,upload_before_taken
40196672135,33034942@N04,45.758982,4.82171,"2017,69,8,8decembre,antiquaille,decembre,fete,fetedeslumieres,lumiere,lumieres,lyon",_PHM5200,33,11,29,3,2018,32,11,29,3,2018,https://www.flickr.com/photos/33034942@N04/40196672135,2018-03-29 11:33:00,2018-03-29 11:32:00,upload_before_taken
26219623787,33034942@N04,45.758982,4.82171,"2017,69,8,8decembre,antiquaille,decembre,fete,fetedeslumieres,lumiere,lumieres,lyon",_PHM5193,33,11,29,3,2018,32,11,29,3,2018,https://www.flickr.com/photos/33034942@N04/26219623787,2018-03-29 11:33:00,2018-03-29 11:32:00,upload_before_taken
40196671235,33034942@N04,45.760914,4.826624,"2017,69,8,8decembre,cathedrale,decembre,fete,fetedeslumieres,lumiere,lumieres,lyon,saintjean",_PHM5318,33,11,29,3,2018,32,11,29,3,2018,https://www.flickr.com/photos/33034942@N04/40196671235,2018-03-29 11:33:00,2018-03-29 11:32:00,upload_before_taken
26219623177,33034942@N04,45.758982,4.82171,"2017,69,8,8decembre,antiquaille,decembre,fete,fetedeslumieres,lumiere,lumieres,lyon",_PHM5273,33,11,29,3,2018,32,11,29,3,2018,https://www.flickr.com/photos/33034942@N04/26219623177,2018-03-29 11:33:00,2018-03-29 11:32:00,upload_before_taken
41047648202,33034942@N04,45.760884,4.835561,"2017,69,8,8decembre,decembre,fete,fetedeslumieres,lumiere,lumieres,lyon,republique",_PHM5396,33,11,29,3,2018,32,11,29,3,2018,https://www.flickr.com/photos/33034942@N04/41047648202,2018-03-29 11:33:00,2018-03-29 11:32:00,upload_before_taken
40733762972,91783102@N07,45.851098,4.822643,,The Alps,46,17,11,3,2018,0,23,12,3,2018,https://www.flickr.com/photos/91783102@N07/40733762972,2018-03-11 17:46:00,2018-03-12 23:00:00,out_of_lyon
39857825595,128576257@N08,45.852669,4.860888,,IMG_7022,40,0,1,1,2018,18,20,11,3,2018,https://www.flickr.com/photos/128576257@N08/39857825595,2018-01-01 00:40:00,2018-03-11 20:18:00,out_of_lyon
39857825565,128576257@N08,45.852713,4.860824,,IMG_7021,40,0,1,1,2018,18,20,11,3,2018,https://www.flickr.com/photos/128576257@N08/39857825565,2018-01-01 00:40:00,2018-03-11 20:18:00,out_of_lyon
38206698836,90250231@N05,45.731839,4.816925,"confluence,rhône,saône,river,lyon,urbanism,architecture",Confluences and humankind...The project also provides for an opening up of the district by the construction of heavy infrastructures connecting it to the Gerland district and the Perrache railway station.,45,14,10,3,2018,45,11,10,3,2018,https://www.flickr.com/photos/90250231@N05/38206698836,2018-03-10 14:45:00,2018-03-10 11:45:00,upload_before_taken
38923714530,128576257@N08,45.852722,4.861183,,IMG_5281,13,20,27,9,2017,9,22,10,3,2018,https://www.flickr.com/photos/128576257@N08/38923714530,2017-09-27 20:13:00,2018-03-10 22:09:00,out_of_lyon
39809251475,50262447@N07,45.752507,4.835679,"olympus,xa2,analog,35mm,winter,lyon,berge,water,cloud,street,blackandwhite,ilford,film,delta,400",,54,7,27,4,2018,14,9,9,3,2018,https://www.flickr.com/photos/50262447@N07/39809251475,2018-04-27 07:54:00,2018-03-09 09:14:00,upload_before_taken
39994422804,50262447@N07,45.75256,4.837127,"ilford,delta,3200,olympus,xa2,blackandwhite,analog,morning,snow",,28,8,27,4,2018,14,9,9,3,2018,https://www.flickr.com/photos/50262447@N07/39994422804,2018-04-27 08:28:00,2018-03-09 09:14:00,upload_before_taken
39809249975,50262447@N07,45.752283,4.836688,"olympus,xa2,blackandwhite,analog,delta,3200,ilford,street,light,bike,snow",,8,8,27,4,2018,14,9,9,3,2018,https://www.flickr.com/photos/50262447@N07/39809249975,2018-04-27 08:08:00,2018-03-09 09:14:00,upload_before_taken
38710037010,10986181@N05,45.760569,4.833469,"fujifilmxt10,lyon,fontainedesjacobins,fountain,fontaine,jacobins,glace,ice",La fontaine des Jacobins dans la glace,19,18,27,2,2018,15,18,27,2,2018,https://www.flickr.com/photos/10986181@N05/38710037010,2018-02-27 18:19:00,2018-02-27 18:15:00,upload_before_taken
39030061985,14902008@N02,45.733145,4.818513,,Lyon_Y183098,5,17,27,1,2018,2,17,27,1,2018,https://www.flickr.com/photos/14902008@N02/39030061985,2018-01-27 17:05:00,2018-01-27 17:02:00,upload_before_taken
28032921549,50262447@N07,45.768106,4.861482,"skateboard,street,blackandwhite,lyon,120film,analog,bergger,pancro,400",Guillaume Nozieres - Bs tailslide,48,10,21,1,2018,29,10,21,1,2018,https://www.flickr.com/photos/50262447@N07/28032921549,2018-01-21 10:48:00,2018-01-21 10:29:00,upload_before_taken
38868642195,9619972@N08,45.779855,4.848167,"man,male,homme,hombre,uomo,mann,young,jung,jong,jeune,handsome,attractive,goodlooking,smile,sourire,glimlach,orange,oranje,lyon,france,frankrijk,frankreich,francia,frança,portret,portrait,ritratto,retrato,face,gezicht,visage,gesicht,rhônealpes,porträt,árbol,albero,mand",Beauty is power,2018,39,10,22,7,,11,22,18,1,https://www.flickr.com/photos/9619972@N08/38868642195,,,"taken_minute_oob, taken_hour_oob, taken_month_oob, taken_year_oob, upload_missing_parts, upload_month_oob, upload_year_oob"
41369694234,10986181@N05,45.758848,4.836494,"fujifilmxt2,lyon,grandhôteldieu,fontaine,fountain,eau,water",,53,3,5,5,2018,55,21,28,4,2018,https://www.flickr.com/photos/10986181@N05/41369694234,2018-05-05 03:53:00,2018-04-28 21:55:00,upload_before_taken
39374992240,10986181@N05,45.76149,4.853639,"fujifilmxt10,lyon,partdieu,crayon,auditorium",,58,16,2,4,2018,30,23,1,4,2018,https://www.flickr.com/photos/10986181@N05/39374992240,2018-04-02 16:58:00,2018-04-01 23:30:00,upload_before_taken
40196672135,33034942@N04,45.758982,4.82171,"2017,69,8,8decembre,antiquaille,decembre,fete,fetedeslumieres,lumiere,lumieres,lyon",_PHM5200,33,11,29,3,2018,32,11,29,3,2018,https://www.flickr.com/photos/33034942@N04/40196672135,2018-03-29 11:33:00,2018-03-29 11:32:00,upload_before_taken
26219623787,33034942@N04,45.758982,4.82171,"2017,69,8,8decembre,antiquaille,decembre,fete,fetedeslumieres,lumiere,lumieres,lyon",_PHM5193,33,11,29,3,2018,32,11,29,3,2018,https://www.flickr.com/photos/33034942@N04/26219623787,2018-03-29 11:33:00,2018-03-29 11:32:00,upload_before_taken
26219623177,33034942@N04,45.758982,4.82171,"2017,69,8,8decembre,antiquaille,decembre,fete,fetedeslumieres,lumiere,lumieres,lyon",_PHM5273,33,11,29,3,2018,32,11,29,3,2018,https://www.flickr.com/photos/33034942@N04/26219623177,2018-03-29 11:33:00,2018-03-29 11:32:00,upload_before_taken
40196671235,33034942@N04,45.760914,4.826624,"2017,69,8,8decembre,cathedrale,decembre,fete,fetedeslumieres,lumiere,lumieres,lyon,saintjean",_PHM5318,33,11,29,3,2018,32,11,29,3,2018,https://www.flickr.com/photos/33034942@N04/40196671235,2018-03-29 11:33:00,2018-03-29 11:32:00,upload_before_taken
41047648202,33034942@N04,45.760884,4.835561,"2017,69,8,8decembre,decembre,fete,fetedeslumieres,lumiere,lumieres,lyon,republique",_PHM5396,33,11,29,3,2018,32,11,29,3,2018,https://www.flickr.com/photos/33034942@N04/41047648202,2018-03-29 11:33:00,2018-03-29 11:32:00,upload_before_taken
40733762972,91783102@N07,45.851098,4.822643,,The Alps,46,17,11,3,2018,0,23,12,3,2018,https://www.flickr.com/photos/91783102@N07/40733762972,2018-03-11 17:46:00,2018-03-12 23:00:00,out_of_lyon
39857825595,128576257@N08,45.852669,4.860888,,IMG_7022,40,0,1,1,2018,18,20,11,3,2018,https://www.flickr.com/photos/128576257@N08/39857825595,2018-01-01 00:40:00,2018-03-11 20:18:00,out_of_lyon
